car_park_no,address,latitude,longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
HG1,"BLK 1,2,6,7 HOUGANG AVE 3",1.3621656,103.89418,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
HG10,BLK 101-108 HOUGANG AVENUE 1,1.3545477,103.89048,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
HG11,BLK 301-319 HOUGANG AVENUE 5,1.365959,103.89498,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HG12,BLK 320-324 HOUGANG AVENUE 5,1.3666952,103.89816,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HG13,BLK 325/326 HOUGANG AVENUE 7,1.3678352,103.89857,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HG14,"BLK 327-328,332-334,358-363 HOUGANG AVENUE 5",1.3691978,103.89643,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,5.4,N
HG15,BLK 208-210 HOUGANG STREET 21,1.3589609,103.88671,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N
HG16,BLK 211-212 HOUGANG STREET 21,1.3597264,103.88809,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N
HG17,BLK 231/233/235/237 HOUGANG STREET 21,1.3576754,103.887955,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG18,BLK 230/232/234/236/238 HOUGANG AVENUE 1,1.3580563,103.888954,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,2.4,N
HG19,BLK 138-145 LORONG AH SOO,1.3528454,103.883804,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
HG1A,BLK 470 UPPER SERANGOON CRESCENT,1.3786639,103.90179,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N
HG1B,BLK 475 UPPER SERANGOON CRESCENT,1.3757209,103.90069,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N
HG1C,BLK 476 UPP SERANGOON VIEW,1.3773897,103.90367,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N
HG1D,BLK 376 HOUGANG ST 32,1.3637434,103.89411,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,10,2.15,N
HG1E,BLK 377 HG 1E HOUGANG STREET 32,1.3626513,103.894714,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.1,N
HG2,BLK 15-18 HOUGANG AVE 3,1.3629162,103.89203,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
HG20,BLK 128-137 LORONG AH SOO,1.3502835,103.88643,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
HG22,BLK 154-157 HOUGANG STREET 11,1.3524735,103.88043,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
HG23,BLK 239-246 HOUGANG STREET 22,1.3575126,103.89155,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
HG24,BLK 247-254 HOUGANG AVENUE 3,1.3597981,103.89169,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,5,N
HG25,BLK 205 HOUGANG STREET 21,1.3598273,103.88689,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
HG26,BLK 335-341 HOUGANG AVENUE 7,1.3694966,103.89885,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HG29,BLK 351-357 HOUGANG AVENUE 7,1.3723422,103.89908,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HG2A,BLK 473 UPP SERANGOON CRESCENT,1.3763723,103.90072,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N
HG2B,BLK 933 HOUGANG AVENUE 9,1.3755299,103.882454,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,2.15,N
HG2C,BLK 364 / 365 UPP SERANGOON RD,1.3701078,103.897224,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,2.15,N
HG2D,"BLK 581,582 AND 582A BUANGKOK GREEN",1.3794072,103.887184,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,0,0,N
HG30,BLK 464-468 HOUGANG AVENUE 10,1.3732592,103.896965,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,2.9,N
HG31,BLK 414-416 HOUGANG AVENUE 10,1.3754846,103.89632,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG32,BLK 601-608 HOUGANG AVENUE 4,1.371379,103.88606,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG33,BLK 609-621 HOUGANG AVENUE 8,1.3695678,103.88438,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG34,BLK 622-632 HOUGANG AVENUE 8,1.3699424,103.8815,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG35,"BLK 701-702,707-710 HOUGANG AVENUE 2",1.3664898,103.88896,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HG36,"BLK 703-706,711-712 HOUGANG AVENUE 2",1.3661186,103.8876,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
HG37,BLKS 501-507 HOUGANG AVENUE 8,1.3730086,103.88737,SURFACE CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG38,"BLK 508-517,520-533 HOUGANG AVENUE 10",1.3725208,103.8897,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
HG39,HOUGANG SPORTS COMPLEX,1.3699434,103.88597,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
